company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Volkswagen,ID.5 Pro Performance,Rear Wheel Drive,C,5,"£51,940",265 mi,291 Wh/mi,"2,117 kg",8.4 sec,285 mi,77.0 kWh,125 kW,"1,000 kg",549 L,£196 /mi
Volvo,C40 Recharge Pure Electric(MY23),Front Wheel Drive,C,5,"£47,100",205 mi,327 Wh/mi,"2,045 kg",7.4 sec,222 mi,67.0 kWh,116 kW,"1,500 kg",450 L,£230 /mi
Vauxhall,Astra Sports Tourer Electric,Front Wheel Drive,C,5,"£34,705",190 mi,267 Wh/mi,"1,760 kg",9.3 sec,208 mi,50.8 kWh,85 kW,0 kg,516 L,£183 /mi
Citroën,ë-C4 X 54 kWh,Front Wheel Drive,C,5,"£35,800",205 mi,248 Wh/mi,"1,659 kg",9.3 sec,221 mi,50.8 kWh,78 kW,0 kg,510 L,£175 /mi
Toyota,Proace City Verso Long 50 kWh,Front Wheel Drive,N,7,"£31,629",145 mi,345 Wh/mi,"1,881 kg",11.7 sec,150 mi,50.0 kWh,80 kW,750 kg,"1,050 L",£218 /mi
KGM,Torres EVX(MY24-25),Front Wheel Drive,C,5,"£36,995",230 mi,313 Wh/mi,"1,979 kg",8.1 sec,229 mi,72.0 kWh,85 kW,"1,500 kg",839 L,£161 /mi
Abarth,600e Scorpionissima,Front Wheel Drive,B,5,"£39,875",170 mi,299 Wh/mi,"1,700 kg",5.9 sec,182 mi,50.8 kWh,79 kW,0 kg,360 L,£235 /mi
Tesla,Model S Performance,All Wheel Drive,F,5,"£89,980",320 mi,297 Wh/mi,"2,307 kg",2.8 sec,339 mi,95.0 kWh,110 kW,0 kg,894 L,£281 /mi
Hyundai,Kona Electric 39 kWh,Front Wheel Drive,B,5,"£30,650",150 mi,261 Wh/mi,"1,610 kg",9.9 sec,139 mi,39.2 kWh,37 kW,0 kg,361 L,£204 /mi
Volkswagen,ID.3 Pro Performance,Rear Wheel Drive,C,5,"£29,740",215 mi,270 Wh/mi,"1,805 kg",7.3 sec,233 mi,58.0 kWh,82 kW,0 kg,385 L,£138 /mi
Peugeot,e-2008,Front Wheel Drive,B,5,"£35,150",165 mi,281 Wh/mi,"1,623 kg",8.5 sec,183 mi,46.3 kWh,78 kW,0 kg,434 L,£213 /mi
Audi,e-tron S,All Wheel Drive,E,5,"£88,435",195 mi,444 Wh/mi,"2,730 kg",4.5 sec,206 mi,86.5 kWh,146 kW,"1,800 kg",660 L,£454 /mi
Lotus,Eletre S,All Wheel Drive,F,5,"£105,805",300 mi,363 Wh/mi,"2,595 kg",4.5 sec,368 mi,109.0 kWh,259 kW,"2,250 kg",657 L,£353 /mi
Porsche,Macan Turbo Electric(MY24-25),All Wheel Drive,D,5,"£95,000",285 mi,333 Wh/mi,"2,480 kg",3.3 sec,338 mi,95.0 kWh,200 kW,"2,000 kg",564 L,£333 /mi
Volvo,EC40 Single Motor(MY25),Rear Wheel Drive,C,5,"£52,555",220 mi,305 Wh/mi,"2,057 kg",7.3 sec,248 mi,67.0 kWh,110 kW,"1,500 kg",435 L,£239 /mi
Polestar,2 Long Range Performance(MY26),All Wheel Drive,D,5,"£58,160",280 mi,282 Wh/mi,"2,180 kg",4.2 sec,315 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£208 /mi
Ford,Mustang Mach-E ER RWD(MY21),Rear Wheel Drive,D,5,"£47,580",290 mi,303 Wh/mi,"2,160 kg",7.0 sec,271 mi,88.0 kWh,86 kW,750 kg,619 L,£164 /mi
Tesla,Model S Long Range Plus,All Wheel Drive,F,5,"£79,980",345 mi,284 Wh/mi,"2,255 kg",3.8 sec,385 mi,98.0 kWh,125 kW,0 kg,894 L,£232 /mi
Abarth,500e Hatchback,Front Wheel Drive,B,4,"£34,195",140 mi,270 Wh/mi,"1,410 kg",7.0 sec,156 mi,37.8 kWh,67 kW,0 kg,185 L,£244 /mi
Mini,Cooper SE,Front Wheel Drive,B,4,"£39,000",180 mi,273 Wh/mi,"1,730 kg",5.9 sec,191 mi,49.2 kWh,75 kW,0 kg,200 L,£217 /mi
Porsche,Taycan Turbo S,All Wheel Drive,F,5,"£142,400",245 mi,342 Wh/mi,"2,370 kg",2.8 sec,313 mi,83.7 kWh,216 kW,0 kg,450 L,£581 /mi
Tesla,Model 3 Performance,All Wheel Drive,D,5,"£56,490",275 mi,267 Wh/mi,"1,931 kg",3.7 sec,337 mi,73.5 kWh,163 kW,0 kg,542 L,£205 /mi
Mini,Cooper SE,Front Wheel Drive,B,4,"£25,100",110 mi,263 Wh/mi,"1,440 kg",7.3 sec,114 mi,28.9 kWh,44 kW,0 kg,211 L,£228 /mi
Tesla,Model X Performance,All Wheel Drive,F,7,"£97,980",265 mi,358 Wh/mi,"2,552 kg",2.9 sec,278 mi,95.0 kWh,110 kW,"2,250 kg",unknown,£370 /mi
Genesis,GV60 Sport(MY22-24),All Wheel Drive,C,5,"£58,365",235 mi,315 Wh/mi,"2,170 kg",5.5 sec,293 mi,74.0 kWh,200 kW,"1,600 kg",432 L,£248 /mi
Polestar,2 Long Range Performance(MY23),All Wheel Drive,D,5,"£54,550",240 mi,313 Wh/mi,"2,188 kg",4.4 sec,254 mi,75.0 kWh,108 kW,"1,500 kg",440 L,£227 /mi
BMW,i5 M60 xDrive Saloon,All Wheel Drive,E,5,"£97,745",260 mi,312 Wh/mi,"2,380 kg",3.8 sec,298 mi,81.2 kWh,136 kW,"2,000 kg",490 L,£376 /mi
Volvo,ES90 Single Motor(MY26),Rear Wheel Drive,F,5,"£69,150",300 mi,293 Wh/mi,"2,441 kg",6.6 sec,360 mi,88.0 kWh,170 kW,"1,600 kg",468 L,£231 /mi
Renault,Zoe R240,Front Wheel Drive,B,5,"£18,945",90 mi,259 Wh/mi,"1,502 kg",13.5 sec,63 mi,23.3 kWh,0 kW,unknown,338 L,£211 /mi
SEAT,Mii Electric,Front Wheel Drive,A,4,"£20,300",130 mi,248 Wh/mi,"1,235 kg",12.3 sec,117 mi,32.3 kWh,30 kW,0 kg,251 L,£156 /mi
Nissan,Ariya e-4ORCE 87kWh - 290 kW,All Wheel Drive,C,5,"£59,025",250 mi,348 Wh/mi,"2,293 kg",5.1 sec,249 mi,87.0 kWh,110 kW,"1,500 kg",415 L,£236 /mi
Audi,SQ6 SUV e-tron,All Wheel Drive,D,5,"£92,950",295 mi,322 Wh/mi,"2,425 kg",4.3 sec,347 mi,94.9 kWh,200 kW,"2,400 kg",578 L,£315 /mi
Smart,#5 Pro(MY25),Rear Wheel Drive,D,5,"£39,800",230 mi,323 Wh/mi,"2,275 kg",6.9 sec,245 mi,74.4 kWh,110 kW,"1,600 kg",702 L,£173 /mi
Volvo,EC40 Single Motor ER(MY26),Rear Wheel Drive,C,5,"£54,160",260 mi,304 Wh/mi,"2,095 kg",7.3 sec,285 mi,79.0 kWh,125 kW,"1,500 kg",435 L,£208 /mi
Lotus,Emeya 900,All Wheel Drive,F,5,"£129,990",290 mi,341 Wh/mi,"2,650 kg",2.8 sec,364 mi,98.9 kWh,240 kW,"1,225 kg",543 L,£448 /mi
Volkswagen,ID.3 Pro S,Rear Wheel Drive,C,4,"£38,800",280 mi,275 Wh/mi,"1,934 kg",7.9 sec,303 mi,77.0 kWh,115 kW,0 kg,385 L,£139 /mi
Mercedes-Benz,EQB 350 4MATIC,All Wheel Drive,C,7,"£56,810",210 mi,317 Wh/mi,"2,175 kg",6.2 sec,217 mi,66.5 kWh,100 kW,0 kg,495 L,£271 /mi
Porsche,Taycan,Rear Wheel Drive,F,5,"£79,200",260 mi,273 Wh/mi,"2,125 kg",5.4 sec,331 mi,71.0 kWh,183 kW,0 kg,491 L,£305 /mi
Škoda,Enyaq Coupe vRS(MY24),All Wheel Drive,C,5,"£54,820",275 mi,280 Wh/mi,"2,258 kg",5.5 sec,306 mi,77.0 kWh,120 kW,"1,200 kg",570 L,£199 /mi
Polestar,2 Long Range Dual Motor(MY25),All Wheel Drive,D,5,"£52,950",280 mi,282 Wh/mi,"2,183 kg",4.5 sec,319 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£189 /mi
Porsche,Taycan GTS,All Wheel Drive,F,5,"£117,500",330 mi,294 Wh/mi,"2,360 kg",3.3 sec,430 mi,97.0 kWh,262 kW,0 kg,450 L,£356 /mi
Tesla,Model S 85D,All Wheel Drive,F,5,£0,260 mi,311 Wh/mi,"2,184 kg",4.4 sec,263 mi,80.8 kWh,95 kW,unknown,895 L,- /mi
Peugeot,iOn,Rear Wheel Drive,A,4,"£16,995",55 mi,264 Wh/mi,"1,140 kg",15.9 sec,63 mi,14.5 kWh,30 kW,0 kg,166 L,£309 /mi
Ford,Mustang Mach-E ER RWD(MY22),Rear Wheel Drive,D,5,"£56,080",300 mi,303 Wh/mi,"2,160 kg",7.0 sec,278 mi,91.0 kWh,86 kW,"1,000 kg",619 L,£187 /mi
