company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Mercedes-Benz,EQE SUV 500 4MATIC(MY23),All Wheel Drive,E,5,"£108,760",270 mi,336 Wh/mi,"2,560 kg",4.9 sec,291 mi,90.6 kWh,141 kW,"1,800 kg",520 L,£403 /mi
Ford,Mustang Mach-E Select SR RWD(MY23.75),Rear Wheel Drive,D,5,"£50,830",235 mi,309 Wh/mi,"2,179 kg",7.3 sec,251 mi,72.6 kWh,100 kW,750 kg,619 L,£216 /mi
Mercedes-Benz,EQE SUV 350 4MATIC(MY25),All Wheel Drive,E,5,"£80,005",270 mi,336 Wh/mi,"2,565 kg",6.0 sec,291 mi,90.6 kWh,141 kW,"1,800 kg",520 L,£296 /mi
Hyundai,Kona Electric 39 kWh,Front Wheel Drive,B,5,"£27,250",150 mi,261 Wh/mi,"1,610 kg",9.7 sec,137 mi,39.2 kWh,37 kW,0 kg,332 L,£182 /mi
Peugeot,e-Traveller Long 50 kWh,Front Wheel Drive,N,9,"£43,625",115 mi,403 Wh/mi,"1,989 kg",13.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",989 L,£379 /mi
Hyundai,IONIQ 5 Project 45(MY21),All Wheel Drive,C,5,"£48,000",225 mi,311 Wh/mi,"2,095 kg",5.2 sec,281 mi,70.0 kWh,185 kW,"1,600 kg",555 L,£213 /mi
Vauxhall,Combo-e Life XL 50 kWh,Front Wheel Drive,N,7,"£34,685",125 mi,370 Wh/mi,"1,813 kg",11.7 sec,133 mi,46.3 kWh,78 kW,750 kg,806 L,£277 /mi
Mercedes-Benz,EQS SUV 450 4MATIC,All Wheel Drive,F,7,"£129,470",300 mi,361 Wh/mi,"2,805 kg",6.0 sec,324 mi,108.4 kWh,173 kW,"1,800 kg",645 L,£432 /mi
Skywell,BE11 Standard Range,Front Wheel Drive,D,5,"£36,995",200 mi,340 Wh/mi,"1,955 kg",9.6 sec,184 mi,68.0 kWh,50 kW,unknown,467 L,£185 /mi
Mitsubishi,i-MiEV,Rear Wheel Drive,A,4,"£24,054",55 mi,264 Wh/mi,"1,160 kg",15.9 sec,61 mi,14.5 kWh,30 kW,0 kg,166 L,£437 /mi
Smart,EQ forfour,Rear Wheel Drive,A,4,"£18,190",55 mi,304 Wh/mi,"1,200 kg",12.7 sec,40 mi,16.7 kWh,0 kW,0 kg,185 L,£331 /mi
Audi,Q4 Sportback e-tron 35,Rear Wheel Drive,C,5,"£46,190",185 mi,281 Wh/mi,"1,970 kg",9.0 sec,195 mi,52.0 kWh,70 kW,0 kg,535 L,£250 /mi
Porsche,Taycan Sport Turismo,Rear Wheel Drive,F,5,"£80,200",235 mi,302 Wh/mi,"2,155 kg",5.4 sec,298 mi,71.0 kWh,183 kW,0 kg,530 L,£341 /mi
Porsche,Taycan 4S Sport Turismo,All Wheel Drive,F,5,"£91,700",230 mi,309 Wh/mi,"2,245 kg",4.0 sec,291 mi,71.0 kWh,183 kW,0 kg,530 L,£399 /mi
Mercedes-Benz,EQE SUV AMG 53 4MATIC+(MY23-24),All Wheel Drive,E,5,"£114,995",260 mi,348 Wh/mi,"2,690 kg",3.5 sec,281 mi,90.6 kWh,141 kW,"1,800 kg",520 L,£442 /mi
Mercedes-Benz,EQE SUV 350 4MATIC(MY23-24),All Wheel Drive,E,5,"£79,940",270 mi,336 Wh/mi,"2,560 kg",6.6 sec,291 mi,90.6 kWh,141 kW,"1,800 kg",520 L,£296 /mi
Mitsubishi,i-MiEV,Rear Wheel Drive,A,4,"£24,054",50 mi,290 Wh/mi,"1,185 kg",15.9 sec,61 mi,14.5 kWh,30 kW,0 kg,166 L,£481 /mi
Tesla,Model S 70,Rear Wheel Drive,F,5,£0,215 mi,321 Wh/mi,"2,102 kg",5.8 sec,225 mi,69.0 kWh,95 kW,unknown,895 L,- /mi
Tesla,Model X Ludicrous Performance,All Wheel Drive,F,7,"£101,350",275 mi,345 Wh/mi,"2,572 kg",2.9 sec,272 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£369 /mi
Peugeot,e-Rifter Long 50 kWh,Front Wheel Drive,N,7,"£35,120",125 mi,370 Wh/mi,"1,841 kg",11.7 sec,133 mi,46.3 kWh,78 kW,750 kg,806 L,£281 /mi
Volkswagen,ID.5 Pro,Rear Wheel Drive,C,5,"£50,550",265 mi,291 Wh/mi,"2,117 kg",10.4 sec,285 mi,77.0 kWh,125 kW,"1,000 kg",549 L,£191 /mi
Porsche,Taycan Turbo Sport Turismo,All Wheel Drive,F,5,"£126,800",250 mi,335 Wh/mi,"2,405 kg",3.2 sec,318 mi,83.7 kWh,216 kW,0 kg,489 L,£507 /mi
Fisker,Ocean Sport,Front Wheel Drive,D,5,"£36,900",215 mi,330 Wh/mi,"2,300 kg",7.4 sec,243 mi,71.0 kWh,100 kW,"1,090 kg",476 L,£172 /mi
Peugeot,e-208 51 kWh(MY23),Front Wheel Drive,B,5,"£34,955",190 mi,253 Wh/mi,"1,530 kg",8.2 sec,206 mi,48.1 kWh,80 kW,0 kg,265 L,£184 /mi
Volkswagen,ID.5 Pro,Rear Wheel Drive,C,5,"£50,710",265 mi,291 Wh/mi,"2,118 kg",10.4 sec,282 mi,77.0 kWh,125 kW,"1,000 kg",549 L,£191 /mi
Citroën,ë-C4 54 kWh,Front Wheel Drive,C,5,"£35,800",205 mi,248 Wh/mi,"1,636 kg",9.2 sec,221 mi,50.8 kWh,78 kW,0 kg,380 L,£175 /mi
Polestar,2 Long Range Performance(MY25),All Wheel Drive,D,5,"£57,950",280 mi,282 Wh/mi,"2,180 kg",4.2 sec,315 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£207 /mi
Mercedes-Benz,CLA Shooting Brake 350 4MATIC,All Wheel Drive,D,5,"£56,300",345 mi,246 Wh/mi,"2,155 kg",5.0 sec,447 mi,85.0 kWh,235 kW,"1,800 kg",556 L,£163 /mi
Tesla,Model S 70D,All Wheel Drive,F,5,£0,215 mi,309 Wh/mi,"2,156 kg",5.4 sec,229 mi,66.5 kWh,95 kW,unknown,895 L,- /mi
Renault,Zoe R90,Front Wheel Drive,B,5,"£19,845",85 mi,274 Wh/mi,"1,502 kg",14.5 sec,63 mi,23.3 kWh,0 kW,0 kg,338 L,£233 /mi
Citroën,ë-Berlingo Multispace,Front Wheel Drive,N,5,£0,60 mi,342 Wh/mi,"1,679 kg",19.5 sec,65 mi,20.5 kWh,30 kW,unknown,"1,350 L",- /mi
Ford,Mustang Mach-E ER AWD(MY21),All Wheel Drive,D,5,"£58,230",265 mi,332 Wh/mi,"2,257 kg",5.8 sec,249 mi,88.0 kWh,86 kW,750 kg,619 L,£220 /mi
Ford,Mustang Mach-E SR RWD(MY22),Rear Wheel Drive,D,5,"£50,030",235 mi,298 Wh/mi,"2,044 kg",6.9 sec,233 mi,70.0 kWh,78 kW,750 kg,619 L,£213 /mi
Abarth,500e Scorpionissima,Front Wheel Drive,B,4,"£38,695",140 mi,270 Wh/mi,"1,410 kg",7.0 sec,156 mi,37.8 kWh,67 kW,0 kg,185 L,£276 /mi
Porsche,Taycan Turbo,All Wheel Drive,F,5,"£125,800",275 mi,304 Wh/mi,"2,380 kg",3.2 sec,353 mi,83.7 kWh,216 kW,0 kg,450 L,£457 /mi
Porsche,Taycan Plus Sport Turismo,Rear Wheel Drive,F,5,"£91,754",330 mi,294 Wh/mi,"2,270 kg",4.8 sec,425 mi,97.0 kWh,262 kW,0 kg,530 L,£278 /mi
Mercedes-Benz,EQE AMG 53 4MATIC+(MY25),All Wheel Drive,E,5,"£105,995",280 mi,324 Wh/mi,"2,540 kg",3.5 sec,305 mi,90.6 kWh,141 kW,"1,700 kg",430 L,£379 /mi
Nissan,LEAF 24 kWh(MY11-13),Front Wheel Drive,C,5,"£21,490",80 mi,275 Wh/mi,"1,600 kg",11.9 sec,86 mi,22.0 kWh,36 kW,unknown,330 L,£269 /mi
Tesla,Model S 90D,All Wheel Drive,F,5,£0,275 mi,311 Wh/mi,"2,184 kg",4.4 sec,275 mi,85.5 kWh,90 kW,unknown,895 L,- /mi
Audi,e-tron S,All Wheel Drive,E,5,"£87,000",200 mi,433 Wh/mi,"2,695 kg",4.5 sec,211 mi,86.5 kWh,146 kW,"1,800 kg",660 L,£435 /mi
Volkswagen,ID.4 GTX,All Wheel Drive,C,5,"£49,025",245 mi,314 Wh/mi,"2,224 kg",6.2 sec,270 mi,77.0 kWh,115 kW,"1,200 kg",543 L,£200 /mi
Porsche,Taycan GTS Sport Turismo,All Wheel Drive,F,5,"£111,200",265 mi,316 Wh/mi,"2,385 kg",3.7 sec,337 mi,83.7 kWh,216 kW,0 kg,530 L,£420 /mi
Audi,Q8 Sportback e-tron 50 quattro,All Wheel Drive,E,5,"£73,215",275 mi,324 Wh/mi,"2,585 kg",6.0 sec,293 mi,89.0 kWh,146 kW,"1,800 kg",590 L,£266 /mi
Porsche,Taycan 4 Cross Turismo,All Wheel Drive,F,5,"£88,200",270 mi,310 Wh/mi,"2,320 kg",5.1 sec,346 mi,83.7 kWh,216 kW,0 kg,530 L,£327 /mi
Porsche,Taycan Turbo S Sport Turismo,All Wheel Drive,F,5,"£162,100",315 mi,308 Wh/mi,"2,395 kg",2.4 sec,407 mi,97.0 kWh,262 kW,0 kg,489 L,£515 /mi
Volvo,EC40 Single Motor ER(MY25),Rear Wheel Drive,C,5,"£54,305",260 mi,304 Wh/mi,"2,095 kg",7.3 sec,285 mi,79.0 kWh,125 kW,"1,500 kg",435 L,£209 /mi
Volkswagen,e-Transporter Shuttle LWB 160 kW 65 kWh,Rear Wheel Drive,N,9,"£61,577",150 mi,425 Wh/mi,"2,568 kg",8.6 sec,153 mi,63.8 kWh,75 kW,"2,000 kg","1,000 L",£411 /mi
Tesla,Model S 60D,All Wheel Drive,F,5,£0,215 mi,288 Wh/mi,"2,183 kg",5.4 sec,234 mi,62.0 kWh,95 kW,unknown,895 L,- /mi
Smart,EQ fortwo cabrio,Rear Wheel Drive,A,2,"£19,835",55 mi,304 Wh/mi,"1,115 kg",11.8 sec,40 mi,16.7 kWh,0 kW,0 kg,260 L,£361 /mi
Toyota,Proace Verso Medium 50 kWh,Front Wheel Drive,N,8,"£42,988",115 mi,403 Wh/mi,"1,969 kg",12.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",603 L,£374 /mi
Mercedes-Benz,EQE AMG 53 4MATIC+(MY22-23),All Wheel Drive,E,5,"£114,750",280 mi,324 Wh/mi,"2,525 kg",3.5 sec,305 mi,90.6 kWh,141 kW,750 kg,430 L,£410 /mi
Audi,SQ8 SUV e-tron,All Wheel Drive,E,5,"£98,815",285 mi,372 Wh/mi,"2,725 kg",4.5 sec,288 mi,106.0 kWh,144 kW,"1,800 kg",631 L,£347 /mi
Porsche,Taycan 4S Plus,All Wheel Drive,F,5,"£94,996",295 mi,284 Wh/mi,"2,295 kg",4.0 sec,381 mi,83.7 kWh,216 kW,0 kg,491 L,£322 /mi
Ford,Mustang Mach-E GT(MY23.75),All Wheel Drive,D,5,"£74,540",265 mi,343 Wh/mi,"2,348 kg",3.7 sec,269 mi,91.0 kWh,115 kW,750 kg,619 L,£281 /mi
DS Automobiles,N°8 FWD,Front Wheel Drive,D,5,"£50,790",260 mi,283 Wh/mi,"2,207 kg",7.7 sec,279 mi,73.7 kWh,100 kW,"1,260 kg",620 L,£195 /mi
Volkswagen,e-Transporter Shuttle LWB 210 kW 64 kWh,Rear Wheel Drive,N,9,"£67,355",150 mi,425 Wh/mi,"2,568 kg",7.4 sec,153 mi,63.8 kWh,75 kW,"2,000 kg","1,000 L",£449 /mi
Tesla,Model S 60,Rear Wheel Drive,F,5,£0,210 mi,295 Wh/mi,"2,102 kg",5.8 sec,230 mi,62.0 kWh,95 kW,unknown,895 L,- /mi
Peugeot,e-2008,Front Wheel Drive,B,5,"£30,730",160 mi,289 Wh/mi,"1,623 kg",8.5 sec,177 mi,46.3 kWh,78 kW,0 kg,434 L,£192 /mi
Mercedes-Benz,EQS SUV 580 4MATIC,All Wheel Drive,F,7,"£139,470",300 mi,361 Wh/mi,"2,810 kg",4.6 sec,324 mi,108.4 kWh,173 kW,"1,800 kg",645 L,£465 /mi
Tesla,Model X P90D,All Wheel Drive,F,7,£0,235 mi,364 Wh/mi,"2,514 kg",4.0 sec,227 mi,85.5 kWh,90 kW,unknown,unknown,- /mi
Tesla,Model X Performance,All Wheel Drive,F,7,"£89,850",260 mi,365 Wh/mi,"2,572 kg",3.7 sec,257 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£346 /mi
Volkswagen,ID.5 GTX,All Wheel Drive,C,5,"£58,640",250 mi,308 Wh/mi,"2,242 kg",6.3 sec,278 mi,77.0 kWh,115 kW,"1,200 kg",549 L,£235 /mi
Porsche,Taycan Plus Sport Turismo,Rear Wheel Drive,F,5,"£84,654",275 mi,304 Wh/mi,"2,235 kg",5.4 sec,347 mi,83.7 kWh,216 kW,0 kg,530 L,£308 /mi
Audi,SQ8 Sportback e-tron,All Wheel Drive,E,5,"£101,315",300 mi,353 Wh/mi,"2,725 kg",4.5 sec,306 mi,106.0 kWh,144 kW,"1,800 kg",590 L,£338 /mi
Volvo,EC40 Twin Motor Performance(MY25),All Wheel Drive,C,5,"£59,555",250 mi,316 Wh/mi,"2,185 kg",4.6 sec,275 mi,79.0 kWh,125 kW,"1,800 kg",435 L,£238 /mi
Tesla,Model S P90D,All Wheel Drive,F,5,£0,250 mi,342 Wh/mi,"2,271 kg",3.3 sec,249 mi,85.5 kWh,90 kW,unknown,895 L,- /mi
Tesla,Model X Performance,All Wheel Drive,F,7,"£93,150",275 mi,345 Wh/mi,"2,572 kg",3.6 sec,272 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£339 /mi
Ford,Mustang Mach-E SR AWD(MY21),All Wheel Drive,D,5,"£50,850",210 mi,324 Wh/mi,"2,138 kg",6.3 sec,209 mi,68.0 kWh,78 kW,750 kg,619 L,£242 /mi
Genesis,G80 Electrified Luxury(MY22-24),All Wheel Drive,F,5,"£69,805",275 mi,300 Wh/mi,"2,325 kg",4.9 sec,315 mi,82.5 kWh,160 kW,unknown,354 L,£254 /mi
Mercedes-Benz,EQS AMG 53 4MATIC+,All Wheel Drive,F,5,"£161,860",335 mi,324 Wh/mi,"2,700 kg",3.4 sec,367 mi,108.4 kWh,173 kW,750 kg,620 L,£483 /mi
Mercedes-Benz,EQE AMG 53 4MATIC+(MY24),All Wheel Drive,E,5,"£105,860",280 mi,324 Wh/mi,"2,540 kg",3.5 sec,305 mi,90.6 kWh,141 kW,"1,700 kg",430 L,£378 /mi
Citroën,ë-SpaceTourer XL 75 kWh,Front Wheel Drive,N,9,"£42,935",160 mi,431 Wh/mi,"2,240 kg",14.2 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",989 L,£268 /mi
Tesla,Model S P90DL,All Wheel Drive,F,5,£0,250 mi,342 Wh/mi,"2,271 kg",3.0 sec,249 mi,85.5 kWh,90 kW,unknown,895 L,- /mi
Smart,ForTwo Cabrio Electric Drive,Rear Wheel Drive,A,2,"£18,560",55 mi,304 Wh/mi,"1,115 kg",11.8 sec,40 mi,16.7 kWh,0 kW,0 kg,260 L,£337 /mi
Citroën,ë-SpaceTourer M 50 kWh,Front Wheel Drive,N,9,"£37,045",115 mi,403 Wh/mi,"1,969 kg",12.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",507 L,£322 /mi
Ford,Mustang Mach-E GT(MY23),All Wheel Drive,D,5,"£74,540",265 mi,343 Wh/mi,"2,348 kg",4.4 sec,247 mi,91.0 kWh,86 kW,750 kg,619 L,£281 /mi
Porsche,Taycan 4S Plus Sport Turismo,All Wheel Drive,F,5,"£100,996",315 mi,308 Wh/mi,"2,350 kg",3.7 sec,407 mi,97.0 kWh,262 kW,0 kg,530 L,£321 /mi
Volkswagen,e-Transporter Kombi SWB 100 kW 65 kWh,Rear Wheel Drive,N,9,"£53,404",155 mi,412 Wh/mi,"2,302 kg",12.8 sec,158 mi,63.8 kWh,75 kW,"2,000 kg",800 L,£345 /mi
Audi,e-tron S Sportback,All Wheel Drive,E,5,"£88,700",205 mi,422 Wh/mi,"2,695 kg",4.5 sec,220 mi,86.5 kWh,146 kW,"1,800 kg",615 L,£433 /mi
Porsche,Taycan Turbo Cross Turismo,All Wheel Drive,F,5,"£120,900",245 mi,342 Wh/mi,"2,395 kg",3.3 sec,308 mi,83.7 kWh,216 kW,0 kg,489 L,£493 /mi
Porsche,Taycan Turbo S Cross Turismo,All Wheel Drive,F,5,"£143,400",235 mi,356 Wh/mi,"2,395 kg",2.9 sec,297 mi,83.7 kWh,216 kW,0 kg,489 L,£610 /mi
Audi,Q4 Sportback e-tron 50 quattro,All Wheel Drive,C,5,"£58,510",250 mi,306 Wh/mi,"2,215 kg",6.2 sec,275 mi,76.6 kWh,115 kW,"1,200 kg",535 L,£234 /mi
Porsche,Taycan Turbo S Sport Turismo,All Wheel Drive,F,5,"£149,300",245 mi,342 Wh/mi,"2,400 kg",2.8 sec,311 mi,83.7 kWh,216 kW,0 kg,489 L,£609 /mi
Toyota,Proace City Verso Long 50 kWh,Front Wheel Drive,N,7,"£34,113",130 mi,356 Wh/mi,"1,813 kg",11.2 sec,137 mi,46.3 kWh,78 kW,750 kg,850 L,£262 /mi
Volkswagen,ID.5 GTX,All Wheel Drive,C,5,"£56,545",250 mi,308 Wh/mi,"2,243 kg",6.3 sec,278 mi,77.0 kWh,115 kW,"1,200 kg",549 L,£226 /mi
Volkswagen,e-Transporter Shuttle LWB 100 kW 65 kWh,Rear Wheel Drive,N,9,"£57,149",150 mi,425 Wh/mi,"2,568 kg",12.8 sec,153 mi,63.8 kWh,75 kW,"2,000 kg","1,000 L",£381 /mi
Toyota,Proace Verso Long 50 kWh,Front Wheel Drive,N,8,"£43,488",110 mi,421 Wh/mi,"1,989 kg",12.1 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",989 L,£395 /mi
Tesla,Model S P90DL,All Wheel Drive,F,5,£0,250 mi,342 Wh/mi,"2,262 kg",3.0 sec,249 mi,85.5 kWh,90 kW,unknown,895 L,- /mi
DS Automobiles,DS 3 Crossback E-Tense,Front Wheel Drive,B,5,"£31,500",160 mi,289 Wh/mi,"1,598 kg",8.7 sec,173 mi,46.3 kWh,78 kW,0 kg,350 L,£197 /mi
Audi,e-tron Sportback 50 quattro,All Wheel Drive,E,5,"£63,835",180 mi,359 Wh/mi,"2,445 kg",6.8 sec,196 mi,64.7 kWh,114 kW,"1,800 kg",615 L,£355 /mi
Porsche,Taycan Turbo S Cross Turismo,All Wheel Drive,F,5,"£149,300",255 mi,328 Wh/mi,"2,395 kg",2.9 sec,323 mi,83.7 kWh,216 kW,0 kg,489 L,£585 /mi
Volkswagen,e-Transporter Shuttle SWB 100 kW 65 kWh,Rear Wheel Drive,N,9,"£56,129",150 mi,425 Wh/mi,"2,523 kg",12.8 sec,153 mi,63.8 kWh,75 kW,"2,000 kg",800 L,£374 /mi
Tesla,Model S 70D,All Wheel Drive,F,5,£0,220 mi,314 Wh/mi,"2,183 kg",5.4 sec,229 mi,69.0 kWh,95 kW,unknown,895 L,- /mi
Porsche,Taycan 4S Plus Sport Turismo,All Wheel Drive,F,5,"£95,996",265 mi,316 Wh/mi,"2,325 kg",4.0 sec,339 mi,83.7 kWh,216 kW,0 kg,530 L,£362 /mi
Ford,Mustang Mach-E SR AWD(MY22),All Wheel Drive,D,5,"£60,080",215 mi,326 Wh/mi,"2,138 kg",6.3 sec,216 mi,70.0 kWh,78 kW,750 kg,619 L,£279 /mi
Volkswagen,e-Transporter Shuttle SWB 160 kW 65 kWh,Rear Wheel Drive,N,9,"£60,557",150 mi,425 Wh/mi,"2,523 kg",8.6 sec,153 mi,63.8 kWh,75 kW,"2,000 kg",800 L,£404 /mi
Tesla,Model S 70,Rear Wheel Drive,F,5,£0,210 mi,317 Wh/mi,"2,074 kg",5.8 sec,224 mi,66.5 kWh,95 kW,unknown,895 L,- /mi
Kia,e-Niro 39 kWh,Front Wheel Drive,C,5,"£29,595",145 mi,270 Wh/mi,"1,667 kg",9.8 sec,134 mi,39.2 kWh,37 kW,0 kg,451 L,£204 /mi
Citroën,ë-SpaceTourer XL 50 kWh,Front Wheel Drive,N,9,"£37,885",110 mi,421 Wh/mi,"1,989 kg",12.1 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",912 L,£344 /mi
Peugeot,e-Rifter Standard 50 kWh,Front Wheel Drive,N,7,"£33,120",125 mi,370 Wh/mi,"1,765 kg",11.7 sec,135 mi,46.3 kWh,78 kW,750 kg,571 L,£265 /mi
Mercedes-Benz,EQS AMG 53 4MATIC+,All Wheel Drive,F,5,"£161,860",335 mi,322 Wh/mi,"2,655 kg",3.4 sec,367 mi,107.8 kWh,173 kW,750 kg,610 L,£483 /mi
Porsche,Taycan Turbo Cross Turismo,All Wheel Drive,F,5,"£126,800",265 mi,316 Wh/mi,"2,395 kg",3.3 sec,334 mi,83.7 kWh,216 kW,0 kg,489 L,£478 /mi
Citroën,ë-SpaceTourer XL 50 kWh,Front Wheel Drive,N,9,"£37,535",110 mi,421 Wh/mi,"2,056 kg",13.3 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",989 L,£341 /mi
Mini,Cooper SE Convertible,Front Wheel Drive,B,4,"£52,500",105 mi,275 Wh/mi,"1,540 kg",8.2 sec,104 mi,28.9 kWh,44 kW,0 kg,160 L,£500 /mi
Porsche,Taycan Turbo Sport Turismo,All Wheel Drive,F,5,"£134,800",315 mi,308 Wh/mi,"2,390 kg",2.7 sec,407 mi,97.0 kWh,262 kW,0 kg,489 L,£428 /mi
Porsche,Taycan Plus,Rear Wheel Drive,F,5,"£83,654",300 mi,279 Wh/mi,"2,205 kg",5.4 sec,386 mi,83.7 kWh,216 kW,0 kg,491 L,£279 /mi
Tesla,Model X P90DL,All Wheel Drive,F,7,£0,230 mi,372 Wh/mi,"2,524 kg",3.4 sec,227 mi,85.5 kWh,90 kW,unknown,unknown,- /mi
Toyota,Proace City Verso Medium 50 kWh,Front Wheel Drive,N,5,"£34,113",130 mi,356 Wh/mi,"1,739 kg",11.2 sec,139 mi,46.3 kWh,78 kW,750 kg,597 L,£262 /mi
Tesla,Model X 60D,All Wheel Drive,F,7,£0,175 mi,354 Wh/mi,"2,427 kg",6.2 sec,190 mi,62.0 kWh,95 kW,unknown,unknown,- /mi
